,female,rob_replied,female_RobReplied,verified,likes,comments,others_comments,commenters,SRB,mainland,poster_age,followers_count,friends_count,mbrank,sunshine_credit,label_desc_count,account_age_days,avg_clean_sentiment,robot_comment_sentiment
female,1.0,0.05411501571526563,0.2927767122494874,0.008680252606726589,-0.0030878896123224054,-0.0016456361178800259,0.007995322379752349,0.008467424408613025,0.02821895806252146,0.01073054750478652,-0.26815325638919707,-0.009301936855036509,-0.11538246104341314,0.021230929697140775,-0.020517433249091645,-0.006070211159959594,-0.10972324276464343,0.00927204203776349,-0.01527212132497015
rob_replied,0.05411501571526563,1.0,0.880580249242848,-0.09279606930023461,0.002194055796692754,0.0014423935818082003,-0.031221494495955997,-0.030775501702399354,-0.0012404501556834895,0.0018304651027670215,-0.06817554715899742,0.0021738116102982237,-0.0798100292179043,-0.004825644845802305,0.05154562701749734,-0.04622598032585012,0.07647248232369784,0.020577049064081844,
female_RobReplied,0.2927767122494874,0.880580249242848,1.0,-0.08046692255686903,-0.0007069233558770826,-0.0012070128038277612,-0.02959121227303441,-0.028890302714631524,0.0017139035180334355,0.002818502604406832,-0.09063638414846155,0.0013522073750421894,-0.07857373159825452,0.0024395448143395932,0.041879645121478536,-0.03920954984404566,0.056888545878359016,0.020748554535445073,-0.01527212132497015
verified,0.008680252606726589,-0.09279606930023461,-0.08046692255686903,1.0,0.004896248974522762,0.014128788842157694,0.13741498922577725,0.13872488997164048,0.005724040482830524,-0.0028573542108802073,-0.04885931436888423,0.027859888346494305,0.20156909557973002,0.25894912797593067,0.1398511885317998,0.43355608390708283,-0.057446936154630195,0.0440171236397745,-0.06185154167705978
likes,-0.0030878896123224054,0.002194055796692754,-0.0007069233558770826,0.004896248974522762,1.0,0.9797911707903908,0.12719754835442917,0.09589701401148024,-0.000966447373575641,-0.00016493674037513196,-0.00018100630756675946,0.07015896310240491,0.0001411489507806969,0.003760261481713061,0.0025503119081247854,0.009158866406317885,0.002858902225400546,0.0014061393797507443,-0.0034169432720289254
comments,-0.0016456361178800259,0.0014423935818082003,-0.0012070128038277612,0.014128788842157694,0.9797911707903908,1.0,0.1967083650813331,0.1623261424650197,-0.0012833136837606153,-0.003075406307784156,-0.0008624888012090205,0.07350697133740361,0.004763957173520443,0.005861465922366897,0.00565298811970168,0.014287910026166846,0.0013859362816492971,0.005346196126153491,-0.003941520296165256
others_comments,0.007995322379752349,-0.031221494495955997,-0.02959121227303441,0.13741498922577725,0.12719754835442917,0.1967083650813331,1.0,0.9803148793276213,0.0002225383273925898,-0.04881703544122655,-0.00516011264742344,0.10503376197048415,0.07418790547215014,0.028233070016640844,0.044927694507804754,0.08867015074626247,-0.016381170609172633,0.06974755640948209,-0.019661852230637353
commenters,0.008467424408613025,-0.030775501702399354,-0.028890302714631524,0.13872488997164048,0.09589701401148024,0.1623261424650197,0.9803148793276213,1.0,0.0007039023280277343,-0.05161599875484599,-0.005498587975362859,0.09355018391692937,0.07542997027815702,0.02763361473406866,0.04556926856789002,0.08791990853092037,-0.016963763597819037,0.07150434186738056,-0.02265658350342618
SRB,0.02821895806252146,-0.0012404501556834895,0.0017139035180334355,0.005724040482830524,-0.000966447373575641,-0.0012833136837606153,0.0002225383273925898,0.0007039023280277343,1.0,,-0.015779431072615847,-0.005427205320755467,-0.017645654646980657,-0.034995717141058875,-0.021532748820291155,-0.00022405919050280592,-0.04171588692070107,-0.0010326409791280974,-0.01079282620506792
mainland,0.01073054750478652,0.0018304651027670215,0.002818502604406832,-0.0028573542108802073,-0.00016493674037513196,-0.003075406307784156,-0.04881703544122655,-0.05161599875484599,,1.0,-0.037954422765155954,-0.009321291746797824,0.0022404214562672504,-0.014372356719126692,-0.03399837528465392,0.006472673437990861,-0.026886008237805285,-0.008519347627182004,-0.011529961132183386
poster_age,-0.26815325638919707,-0.06817554715899742,-0.09063638414846155,-0.04885931436888423,-0.00018100630756675946,-0.0008624888012090205,-0.00516011264742344,-0.005498587975362859,-0.015779431072615847,-0.037954422765155954,1.0,0.0015682870818233764,0.14123470269924768,-0.006753082205678337,0.04856963994029802,-0.012331414261054446,0.27020885196676325,0.04516810542952908,0.06825311606864426
followers_count,-0.009301936855036509,0.0021738116102982237,0.0013522073750421894,0.027859888346494305,0.07015896310240491,0.07350697133740361,0.10503376197048415,0.09355018391692937,-0.005427205320755467,-0.009321291746797824,0.0015682870818233764,1.0,0.01606478128525886,-0.0030838085238916947,0.00963280715656333,0.03349834059572868,0.021425876861444475,0.0008724323555796529,0.0006494303160351808
friends_count,-0.11538246104341314,-0.0798100292179043,-0.07857373159825452,0.20156909557973002,0.0001411489507806969,0.004763957173520443,0.07418790547215014,0.07542997027815702,-0.017645654646980657,0.0022404214562672504,0.14123470269924768,0.01606478128525886,1.0,0.20089719100212644,0.1639694728450631,0.1861709832187749,0.1253552263381915,0.06041264660927072,-0.020311373857749004
mbrank,0.021230929697140775,-0.004825644845802305,0.0024395448143395932,0.25894912797593067,0.003760261481713061,0.005861465922366897,0.028233070016640844,0.02763361473406866,-0.034995717141058875,-0.014372356719126692,-0.006753082205678337,-0.0030838085238916947,0.20089719100212644,1.0,0.28888555551819944,0.20069348937560072,0.13309000533129542,-0.0175862296009407,-0.013466638996192033
sunshine_credit,-0.020517433249091645,0.05154562701749734,0.041879645121478536,0.1398511885317998,0.0025503119081247854,0.00565298811970168,0.044927694507804754,0.04556926856789002,-0.021532748820291155,-0.03399837528465392,0.04856963994029802,0.00963280715656333,0.1639694728450631,0.28888555551819944,1.0,0.18811724371039562,0.4403560471899278,-0.001198775519473989,0.0712373419860561
label_desc_count,-0.006070211159959594,-0.04622598032585012,-0.03920954984404566,0.43355608390708283,0.009158866406317885,0.014287910026166846,0.08867015074626247,0.08791990853092037,-0.00022405919050280592,0.006472673437990861,-0.012331414261054446,0.03349834059572868,0.1861709832187749,0.20069348937560072,0.18811724371039562,1.0,0.028026567153229823,0.010267743043808493,0.003161765587523846
account_age_days,-0.10972324276464343,0.07647248232369784,0.056888545878359016,-0.057446936154630195,0.002858902225400546,0.0013859362816492971,-0.016381170609172633,-0.016963763597819037,-0.04171588692070107,-0.026886008237805285,0.27020885196676325,0.021425876861444475,0.1253552263381915,0.13309000533129542,0.4403560471899278,0.028026567153229823,1.0,0.01592445446846305,0.18245144491731907
avg_clean_sentiment,0.00927204203776349,0.020577049064081844,0.020748554535445073,0.0440171236397745,0.0014061393797507443,0.005346196126153491,0.06974755640948209,0.07150434186738056,-0.0010326409791280974,-0.008519347627182004,0.04516810542952908,0.0008724323555796529,0.06041264660927072,-0.0175862296009407,-0.001198775519473989,0.010267743043808493,0.01592445446846305,1.0,0.0847009678808701
robot_comment_sentiment,-0.01527212132497015,,-0.01527212132497015,-0.06185154167705978,-0.0034169432720289254,-0.003941520296165256,-0.019661852230637353,-0.02265658350342618,-0.01079282620506792,-0.011529961132183386,0.06825311606864426,0.0006494303160351808,-0.020311373857749004,-0.013466638996192033,0.0712373419860561,0.003161765587523846,0.18245144491731907,0.0847009678808701,1.0
