,N_valid,mean,std,min,25%,50%,75%,max
female,531276,0.8003692995731032,0.3997231349558507,0.0,1.0,1.0,1.0,1.0
rob_replied,531276,0.30709461748695593,0.4612894036500836,0.0,0.0,0.0,1.0,1.0
female_RobReplied,531276,0.2557672471559039,0.4362920131378737,0.0,0.0,0.0,1.0,1.0
verified,531276,0.2065668315527146,0.4048422954094887,0.0,0.0,0.0,0.0,1.0
likes,531276,4.70918693861571,1511.6362578845926,0.0,0.0,0.0,1.0,1094364.0
comments,531276,2.2926972044662284,142.63465133063553,0.0,0.0,0.0,2.0,100254.0
others_comments,531276,1.0533413894096477,6.992322922125627,0.0,0.0,0.0,1.0,741.0
commenters,531276,0.9247396833284395,6.2691434427601225,0.0,0.0,0.0,1.0,646.0
SRB,509180,111.17384795160848,3.8447065158384977,105.1,108.3,109.0,114.3,122.4
mainland,531276,0.9584095648965886,0.19965156107488996,0.0,1.0,1.0,1.0,1.0
poster_age,206115,25.452055358143454,9.383422503291712,8.008213552361397,20.071184120465436,23.01163586584531,27.093771389459274,75.15400410677618
followers_count,531276,14856.8720909659,990031.976589827,0.0,24.0,134.0,1003.0,237937640.0
friends_count,531276,677.6199508353474,1173.6154521410722,0.0,173.0,389.0,765.0,30000.0
mbrank,531276,2.688753115141659,2.2462244189426586,0.0,1.0,2.0,5.0,10.0
sunshine_credit,531276,3.8393471566568036,0.7589103278603005,2.0,4.0,4.0,4.0,5.0
label_desc_count,531276,0.9991962746293829,0.7883422603637016,0.0,1.0,1.0,1.0,31.0
account_age_days,522306,2261.152386332154,1346.4176001039675,0.007326388888888889,1207.8080005787037,2099.0416956018516,3213.5841203703703,5724.697928240741
avg_clean_sentiment,155675,0.5851322184512618,0.32037634036526613,0.0002056211960734,0.3407306582084857,0.6405204776674509,0.8799444437026978,0.9998612403869628
robot_comment_sentiment,163152,0.8182369393960702,0.2544569262372839,0.0003778071550186,0.7451817691326141,0.9470182955265045,0.9950992763042451,0.9999252557754515
